id,name,decile_score,priors_count,c_charge_degree,juv_fel_count,family_criminality,criminal_attitude,criminal_associates,financial_problems,substance_abuse,noncompliance,social_environment,vocational,decile_score_level,priors_count_level,c_charge_degree_level,juv_fel_count_level,family_criminality_level,criminal_attitude_level,criminal_associates_level,financial_problems_level,substance_abuse_level,noncompliance_level,social_environment_level,vocational_level,priors_count_importance,c_charge_degree_importance,juv_fel_count_importance,family_criminality_importance,criminal_attitude_importance,criminal_associates_importance,financial_problems_importance,substance_abuse_importance,noncompliance_importance,social_environment_importance,vocational_importance,priors_count_importance_scaled,c_charge_degree_importance_scaled,juv_fel_count_importance_scaled,family_criminality_importance_scaled,criminal_attitude_importance_scaled,criminal_associates_importance_scaled,financial_problems_importance_scaled,substance_abuse_importance_scaled,noncompliance_importance_scaled,social_environment_importance_scaled,vocational_importance_scaled,priors_count_importance_level,c_charge_degree_importance_level,juv_fel_count_importance_level,family_criminality_importance_level,criminal_attitude_importance_level,criminal_associates_importance_level,financial_problems_importance_level,substance_abuse_importance_level,noncompliance_importance_level,social_environment_importance_level,vocational_importance_level
1864,evens gustave,2,1,M,0,3,5,3,1,6,6,4,4,low,low,low,low,low,medium,low,low,high,high,medium,medium,-0.025,-0.0,-0.0,-0.0,0.0,-0.048,-0.047,0.094,0.177,0.004,-0.035,0.139,0.002,0.0,0.0,0.0,0.27,0.267,0.53,1.0,0.021,0.2,low,low,low,low,low,low,low,medium,high,low,low
1910,james obrien,1,3,F,0,4,3,5,3,3,5,10,4,low,low,high,low,medium,low,medium,low,low,medium,high,medium,-0.01,0.0,-0.0,-0.0,0.0,0.011,-0.019,-0.096,-0.086,-0.009,-0.014,0.099,0.002,0.0,0.0,0.0,0.112,0.201,1.0,0.895,0.09,0.148,low,low,low,low,low,low,low,high,high,low,low
1941,brian spurgin,1,0,M,0,3,5,3,7,4,2,5,6,low,low,low,low,low,medium,low,high,medium,low,medium,high,-0.016,-0.0,-0.0,-0.0,0.0,-0.072,0.015,-0.093,-0.155,-0.007,0.007,0.101,0.003,0.0,0.0,0.0,0.462,0.098,0.598,1.0,0.046,0.045,low,low,low,low,low,medium,low,medium,high,low,low
2076,kerry francois,10,7,F,0,6,6,8,4,8,9,3,5,high,high,high,low,high,high,high,medium,high,high,low,medium,0.019,0.001,-0.0,0.0,0.0,0.081,-0.015,0.149,0.279,0.003,-0.003,0.067,0.002,0.0,0.0,0.0,0.292,0.054,0.534,1.0,0.011,0.011,low,low,low,low,low,low,low,medium,high,low,low
2131,tholome johnson,8,0,F,0,5,4,7,6,5,7,4,7,high,low,high,low,medium,medium,high,high,medium,high,medium,high,-0.013,0.0,-0.0,0.0,0.0,0.113,0.031,-0.081,0.191,0.003,0.045,0.067,0.002,0.0,0.0,0.0,0.593,0.16,0.423,1.0,0.018,0.236,low,low,low,low,low,medium,low,medium,high,low,low
2143,lavena mays,4,0,F,0,6,2,7,5,3,4,4,4,medium,low,high,low,high,low,high,medium,low,medium,medium,medium,-0.01,0.001,-0.0,0.0,0.0,0.127,-0.013,-0.113,-0.1,0.008,-0.021,0.082,0.005,0.0,0.0,0.0,1.0,0.103,0.894,0.789,0.063,0.167,low,low,low,low,low,high,low,high,high,low,low
2259,lee williams,3,5,F,0,6,4,3,1,5,6,4,5,low,medium,high,low,high,medium,low,low,medium,high,medium,medium,0.006,0.0,-0.0,-0.0,0.0,-0.066,-0.035,-0.13,0.143,0.004,-0.002,0.041,0.001,0.0,0.0,0.0,0.461,0.248,0.91,1.0,0.027,0.011,low,low,low,low,low,medium,low,high,high,low,low
2278,thomas whalen,1,0,M,0,3,8,3,4,3,1,10,6,low,low,low,low,low,high,low,medium,low,low,high,high,-0.016,-0.0,-0.0,-0.0,0.0,-0.061,-0.01,-0.102,-0.135,-0.011,0.006,0.118,0.003,0.0,0.0,0.0,0.449,0.077,0.759,1.0,0.08,0.048,low,low,low,low,low,medium,low,high,high,low,low
2292,alex kantzelis,1,0,F,0,7,3,4,1,4,5,5,1,low,low,high,low,high,low,medium,low,medium,medium,medium,low,-0.018,0.0,-0.0,-0.0,0.0,-0.068,-0.017,-0.083,-0.098,-0.007,-0.013,0.182,0.002,0.0,0.0,0.0,0.692,0.174,0.842,1.0,0.068,0.128,low,low,low,low,low,high,low,high,high,low,low
2507,berman stfleur,6,5,M,0,3,6,6,8,6,4,4,6,high,medium,low,low,low,high,high,high,high,medium,medium,high,0.02,-0.004,-0.0,-0.0,0.0,0.117,0.032,0.123,-0.112,0.003,0.01,0.161,0.034,0.0,0.0,0.0,0.951,0.259,1.0,0.911,0.026,0.079,low,low,low,low,low,high,low,high,high,low,low
2588,jeffrey insua,3,3,F,0,2,8,6,6,4,4,4,7,low,low,high,low,low,high,high,high,medium,medium,medium,high,-0.004,0.001,-0.0,-0.0,0.0,0.156,0.016,-0.077,-0.102,0.007,0.033,0.027,0.004,0.0,0.0,0.0,1.0,0.102,0.492,0.653,0.048,0.21,low,low,low,low,low,high,low,medium,medium,low,low
2758,jerome traverso,2,0,F,0,5,10,3,4,3,5,4,2,low,low,high,low,medium,high,low,medium,low,medium,medium,low,-0.016,0.0,-0.0,0.0,0.0,-0.066,-0.012,-0.092,-0.092,0.018,-0.012,0.179,0.002,0.0,0.0,0.0,0.713,0.133,1.0,0.994,0.193,0.125,low,low,low,low,low,high,low,high,high,low,low
2759,andrew millican,7,6,M,0,3,6,7,5,4,7,3,7,high,high,low,low,low,high,high,medium,medium,high,low,high,0.013,-0.001,-0.0,-0.0,0.0,0.115,-0.016,-0.109,0.18,0.004,0.042,0.075,0.003,0.0,0.0,0.0,0.636,0.087,0.606,1.0,0.022,0.232,low,low,low,low,low,medium,low,medium,high,low,low
2772,brandon mallard,8,2,M,0,7,4,9,3,5,8,4,9,high,low,low,low,high,medium,high,low,medium,high,medium,high,-0.014,-0.001,-0.0,0.0,0.0,0.145,-0.033,-0.121,0.233,0.003,0.043,0.058,0.003,0.0,0.0,0.0,0.624,0.142,0.52,1.0,0.015,0.183,low,low,low,low,low,medium,low,medium,high,low,low
2793,jerome shaw,10,11,F,4,4,3,6,2,10,10,5,1,high,high,high,medium,medium,low,high,low,high,high,medium,low,0.056,0.0,0.001,0.0,0.0,0.05,-0.03,0.152,0.267,-0.0,-0.017,0.209,0.001,0.002,0.0,0.0,0.187,0.114,0.571,1.0,0.001,0.063,low,low,low,low,low,low,low,medium,high,low,low
2871,dewayne luke,9,0,F,0,3,2,8,6,9,8,4,6,high,low,high,low,low,low,high,high,high,high,medium,high,-0.01,0.001,-0.0,0.0,0.0,0.099,0.017,0.157,0.24,0.003,0.01,0.041,0.003,0.0,0.0,0.0,0.413,0.073,0.655,1.0,0.012,0.041,low,low,low,low,low,medium,low,medium,high,low,low
2982,tony neal,9,5,F,0,4,4,9,6,7,8,6,8,high,medium,high,low,medium,medium,high,high,high,high,high,high,0.006,0.001,-0.0,0.0,0.0,0.092,0.016,0.107,0.236,-0.002,0.025,0.025,0.004,0.0,0.0,0.0,0.39,0.069,0.452,1.0,0.01,0.105,low,low,low,low,low,medium,low,medium,high,low,low
3093,tristynn francis,5,1,F,0,5,5,6,7,5,5,4,5,medium,low,high,low,medium,medium,high,high,medium,medium,medium,medium,-0.011,0.001,-0.0,0.0,0.0,0.113,0.03,-0.053,-0.075,0.006,-0.019,0.097,0.006,0.0,0.0,0.0,1.0,0.26,0.472,0.666,0.051,0.164,low,low,low,low,low,high,low,medium,high,low,low
3136,xochitl roberts,1,0,M,0,4,0,4,7,1,6,8,6,low,low,low,low,medium,low,medium,high,low,high,high,high,-0.026,-0.0,-0.0,-0.0,-0.001,-0.074,0.031,-0.208,0.194,-0.005,0.013,0.124,0.001,0.0,0.0,0.006,0.357,0.147,1.0,0.934,0.025,0.061,low,low,low,low,low,medium,low,high,high,low,low
3164,ronald lalanne,6,13,F,0,2,5,4,0,6,7,1,0,high,high,high,low,low,medium,medium,low,high,high,low,low,0.08,0.0,-0.0,0.0,0.0,-0.032,-0.042,0.074,0.153,0.004,-0.034,0.521,0.001,0.0,0.0,0.0,0.206,0.274,0.484,1.0,0.026,0.219,medium,low,low,low,low,low,low,medium,high,low,low
3310,miguel torres,3,1,M,0,7,4,5,6,4,4,6,4,low,low,low,low,high,medium,medium,high,medium,medium,high,medium,-0.015,-0.0,-0.0,0.0,0.0,0.016,0.01,-0.079,-0.112,-0.008,-0.017,0.133,0.003,0.0,0.0,0.0,0.146,0.09,0.707,1.0,0.069,0.156,low,low,low,low,low,low,low,high,high,low,low
3425,victor soto,10,6,F,1,2,8,9,8,7,8,2,4,high,high,high,low,low,high,high,high,high,high,low,medium,0.007,0.001,0.0,-0.0,0.0,0.09,0.024,0.11,0.232,0.003,-0.026,0.031,0.003,0.0,0.0,0.0,0.388,0.103,0.476,1.0,0.014,0.111,low,low,low,low,low,medium,low,medium,high,low,low
3504,jacolby floyd,4,2,M,0,4,6,4,4,7,6,4,1,medium,low,low,low,medium,high,medium,medium,high,high,medium,low,-0.023,-0.0,-0.0,-0.0,0.0,-0.045,-0.039,0.117,0.179,0.004,-0.039,0.129,0.002,0.0,0.0,0.0,0.25,0.216,0.654,1.0,0.021,0.216,low,low,low,low,low,low,low,medium,high,low,low
3546,richard santos,2,0,F,0,5,7,4,6,3,3,5,5,low,low,high,low,medium,high,medium,high,low,low,medium,medium,-0.016,0.0,-0.0,0.0,0.0,-0.056,0.01,-0.107,-0.143,-0.007,-0.003,0.11,0.002,0.0,0.0,0.0,0.389,0.069,0.743,1.0,0.048,0.019,low,low,low,low,low,medium,low,high,high,low,low
3706,keisha grant,1,1,F,0,8,2,3,1,5,5,6,2,low,low,high,low,high,low,low,low,medium,medium,high,low,-0.023,0.0,-0.0,0.0,0.0,-0.064,-0.02,-0.017,-0.084,-0.007,-0.018,0.279,0.002,0.0,0.0,0.0,0.759,0.243,0.206,1.0,0.082,0.215,low,low,low,low,low,high,low,low,high,low,low
3867,perry mcqueen,5,22,M,0,8,2,4,5,5,4,11,5,medium,high,low,low,high,low,medium,medium,medium,medium,high,medium,0.119,-0.0,-0.0,-0.0,0.0,-0.03,-0.0,-0.001,-0.108,-0.005,-0.006,1.0,0.003,0.0,0.0,0.0,0.255,0.003,0.01,0.905,0.046,0.052,high,low,low,low,low,low,low,low,high,low,low
4086,andre barrington,10,13,M,0,1,3,7,5,5,9,3,4,high,high,low,low,low,low,high,medium,medium,high,low,medium,0.091,-0.0,-0.0,-0.0,0.0,0.064,-0.008,-0.117,0.254,0.004,-0.02,0.359,0.002,0.0,0.001,0.0,0.252,0.031,0.459,1.0,0.014,0.08,medium,low,low,low,low,low,low,medium,high,low,low
4106,steven adams,6,6,F,0,5,8,6,7,3,4,6,7,high,high,high,low,medium,high,high,high,low,medium,high,high,0.029,0.001,-0.0,0.0,0.0,0.133,0.025,-0.118,-0.099,-0.003,0.026,0.214,0.005,0.0,0.0,0.0,1.0,0.186,0.881,0.744,0.022,0.196,low,low,low,low,low,high,low,high,high,low,low
4634,jared cohen,4,0,M,0,5,4,5,4,6,5,2,6,medium,low,low,low,medium,medium,medium,medium,high,medium,low,high,-0.026,-0.001,-0.0,-0.0,0.0,-0.012,-0.02,0.099,-0.136,0.006,0.018,0.191,0.005,0.0,0.0,0.0,0.089,0.15,0.725,1.0,0.047,0.13,low,low,low,low,low,low,low,high,high,low,low
4761,marcos midence,2,2,M,0,5,3,2,2,6,5,5,3,low,low,low,low,medium,low,low,low,high,medium,medium,low,-0.029,-0.001,-0.0,-0.0,0.0,-0.078,-0.028,0.113,-0.141,-0.002,-0.019,0.208,0.004,0.0,0.0,0.0,0.556,0.198,0.799,1.0,0.015,0.135,low,low,low,low,low,medium,low,high,high,low,low
4794,brian murzike,7,9,F,0,3,6,4,4,8,7,4,5,high,high,high,low,low,high,medium,medium,high,high,medium,medium,0.044,0.0,-0.0,-0.0,0.0,-0.039,-0.03,0.145,0.186,0.003,0.002,0.236,0.001,0.0,0.0,0.0,0.209,0.161,0.777,1.0,0.015,0.013,low,low,low,low,low,low,low,high,high,low,low
5138,jonathan graulich,7,0,F,0,8,4,6,3,9,7,3,4,high,low,high,low,high,medium,high,low,high,high,low,medium,-0.021,0.0,-0.0,0.0,0.0,0.054,-0.035,0.143,0.138,0.003,-0.033,0.148,0.002,0.0,0.0,0.0,0.374,0.242,1.0,0.962,0.023,0.233,low,low,low,low,low,medium,low,high,high,low,low
5436,monique young,2,1,M,0,3,7,6,6,2,3,9,9,low,low,low,low,low,high,high,high,low,low,high,high,-0.011,-0.002,-0.0,-0.0,0.0,0.122,0.009,-0.132,-0.173,-0.007,0.029,0.064,0.012,0.0,0.0,0.0,0.703,0.054,0.761,1.0,0.039,0.169,low,low,low,low,low,high,low,high,high,low,low
5505,bruce davis,1,0,F,0,6,5,4,1,2,2,10,2,low,low,high,low,high,medium,medium,low,low,low,high,low,-0.016,0.0,-0.0,-0.0,0.0,-0.053,-0.014,-0.095,-0.127,-0.011,-0.011,0.124,0.002,0.0,0.0,0.0,0.415,0.108,0.745,1.0,0.089,0.086,low,low,low,low,low,medium,low,high,high,low,low
5601,jong lee,1,1,F,0,3,6,4,4,4,5,8,5,low,low,high,low,low,high,medium,medium,medium,medium,high,medium,-0.018,0.0,-0.0,-0.0,0.0,-0.068,-0.013,-0.089,-0.105,-0.011,-0.003,0.172,0.002,0.0,0.0,0.0,0.643,0.126,0.851,1.0,0.107,0.031,low,low,low,low,low,medium,low,high,high,low,low
5852,dorothy burgess,1,1,F,0,3,1,3,2,1,2,7,4,low,low,high,low,low,low,low,low,low,low,high,medium,-0.016,0.0,-0.0,-0.0,-0.0,-0.058,-0.013,-0.094,-0.127,-0.011,-0.01,0.127,0.002,0.0,0.0,0.0,0.452,0.104,0.739,1.0,0.083,0.076,low,low,low,low,low,medium,low,high,high,low,low
5914,donald perdue,3,2,F,0,5,4,3,2,4,6,4,4,low,low,high,low,medium,medium,low,low,medium,high,medium,medium,-0.03,0.0,-0.0,0.0,0.0,-0.079,-0.036,-0.154,0.153,0.007,-0.022,0.194,0.001,0.0,0.0,0.0,0.514,0.231,1.0,0.995,0.044,0.142,low,low,low,low,low,medium,low,high,high,low,low
6055,juckendra toussaint,3,0,F,0,4,7,5,4,3,7,3,5,low,low,high,low,medium,high,medium,medium,low,high,low,medium,-0.027,0.0,-0.0,-0.0,0.0,-0.024,-0.025,-0.174,0.153,0.006,-0.003,0.157,0.001,0.0,0.0,0.0,0.139,0.142,1.0,0.874,0.036,0.017,low,low,low,low,low,low,low,high,high,low,low
6070,cynthia jacobs,1,0,M,0,5,11,4,8,2,2,5,6,low,low,low,low,medium,high,medium,high,low,low,medium,high,-0.016,-0.0,-0.0,0.0,0.0,-0.061,0.014,-0.112,-0.146,-0.007,0.006,0.107,0.003,0.0,0.0,0.0,0.415,0.098,0.762,1.0,0.048,0.044,low,low,low,low,low,medium,low,high,high,low,low
6081,lorraine rivera,5,3,M,0,-1,7,5,7,6,7,6,3,medium,low,low,low,low,high,medium,high,high,high,high,low,-0.015,-0.0,-0.0,-0.0,0.0,-0.023,0.034,0.091,0.178,-0.002,-0.041,0.084,0.002,0.0,0.0,0.0,0.131,0.189,0.512,1.0,0.01,0.229,low,low,low,low,low,low,low,medium,high,low,low
6312,james walton,5,9,F,0,6,4,3,7,4,5,5,8,medium,high,high,low,high,medium,low,high,medium,medium,medium,high,0.09,0.0,-0.0,0.0,0.0,-0.072,0.019,-0.091,-0.108,-0.003,0.017,0.835,0.002,0.0,0.0,0.0,0.666,0.176,0.846,1.0,0.028,0.157,high,low,low,low,low,high,low,high,high,low,low
6439,brion daniels,9,5,F,0,4,7,7,5,7,6,5,6,high,medium,high,low,medium,high,high,medium,high,high,medium,high,0.009,0.001,-0.0,-0.0,0.0,0.06,0.004,0.116,0.151,-0.001,0.019,0.057,0.004,0.0,0.0,0.0,0.395,0.027,0.766,1.0,0.005,0.129,low,low,low,low,low,medium,low,high,high,low,low
6877,lashunda barbary,2,2,F,0,2,8,1,4,5,5,6,4,low,low,high,low,low,high,low,medium,medium,medium,high,medium,-0.023,0.0,-0.0,-0.0,0.0,-0.064,-0.017,-0.02,-0.087,-0.007,-0.016,0.263,0.002,0.0,0.0,0.0,0.733,0.192,0.226,1.0,0.079,0.189,low,low,low,low,low,high,low,low,high,low,low
6899,eric smithberg,2,0,M,0,4,4,4,5,3,4,4,6,low,low,low,low,medium,medium,medium,medium,low,medium,medium,high,-0.016,-0.0,-0.0,-0.0,0.0,-0.06,-0.001,-0.107,-0.112,0.02,0.006,0.139,0.003,0.0,0.0,0.0,0.54,0.009,0.961,1.0,0.179,0.057,low,low,low,low,low,medium,low,high,high,low,low
7033,ervin jones,7,2,F,0,6,3,5,3,7,7,5,6,high,low,high,low,high,low,medium,low,high,high,medium,high,-0.02,0.0,-0.0,0.0,0.0,-0.018,-0.047,0.113,0.187,-0.001,0.023,0.108,0.001,0.0,0.0,0.0,0.095,0.249,0.606,1.0,0.005,0.12,low,low,low,low,low,low,low,medium,high,low,low
7036,yonnatan coronell,1,0,M,0,4,3,3,6,4,3,5,5,low,low,low,low,medium,low,low,high,medium,low,medium,medium,-0.016,-0.0,-0.0,-0.0,0.0,-0.063,0.011,-0.09,-0.152,-0.007,-0.004,0.105,0.003,0.0,0.0,0.0,0.414,0.076,0.594,1.0,0.045,0.024,low,low,low,low,low,medium,low,medium,high,low,low
7136,lashaver willis,10,3,F,0,5,4,9,6,8,8,3,8,high,low,high,low,medium,medium,high,high,high,high,low,high,-0.005,0.001,-0.0,0.0,0.0,0.1,0.018,0.142,0.243,0.004,0.021,0.022,0.004,0.0,0.0,0.0,0.412,0.074,0.583,1.0,0.015,0.088,low,low,low,low,low,medium,low,medium,high,low,low
7143,emmet sands,1,1,F,0,5,5,5,4,3,3,7,4,low,low,high,low,medium,medium,medium,medium,low,low,high,medium,-0.014,0.0,-0.0,0.0,0.0,0.015,-0.014,-0.095,-0.127,-0.01,-0.013,0.113,0.004,0.0,0.0,0.0,0.119,0.109,0.749,1.0,0.079,0.101,low,low,low,low,low,low,low,high,high,low,low
7166,brandy jones,5,1,F,0,5,5,5,7,4,5,7,5,medium,low,high,low,medium,medium,medium,high,medium,medium,high,medium,-0.015,0.0,-0.0,0.0,0.0,0.023,0.029,-0.079,-0.097,-0.009,-0.011,0.154,0.002,0.0,0.0,0.0,0.234,0.295,0.815,1.0,0.094,0.11,low,low,low,low,low,low,low,high,high,low,low
7289,edward harding,10,20,F,0,7,5,8,4,9,9,4,3,high,high,high,low,high,medium,high,medium,high,high,medium,low,0.045,0.001,-0.0,0.0,0.0,0.071,-0.014,0.157,0.269,0.003,-0.018,0.169,0.002,0.0,0.0,0.0,0.266,0.053,0.583,1.0,0.01,0.066,low,low,low,low,low,low,low,medium,high,low,low
7344,chamoy wright,5,2,F,0,1,3,6,4,5,6,4,5,medium,low,high,low,low,low,high,medium,medium,high,medium,medium,-0.018,0.0,-0.0,-0.0,0.0,0.084,-0.029,-0.1,0.15,0.003,-0.013,0.123,0.002,0.0,0.0,0.0,0.562,0.195,0.669,1.0,0.023,0.084,low,low,low,low,low,medium,low,high,high,low,low
7420,joshe bittelman,2,0,F,0,6,8,3,2,3,4,3,6,low,low,high,low,high,high,low,low,low,medium,low,high,-0.015,0.0,-0.0,0.0,0.0,-0.066,-0.015,-0.1,-0.106,0.022,0.006,0.146,0.002,0.0,0.0,0.0,0.627,0.138,0.94,1.0,0.206,0.059,low,low,low,low,low,medium,low,high,high,low,low
7496,peter reilly,9,0,F,0,8,5,9,8,4,7,3,10,high,low,high,low,high,medium,high,high,medium,high,low,high,-0.011,0.0,-0.0,0.0,0.0,0.157,0.046,-0.095,0.21,0.005,0.049,0.053,0.002,0.0,0.001,0.0,0.751,0.221,0.452,1.0,0.025,0.232,low,low,low,low,low,high,low,medium,high,low,low
7511,akeem james,7,0,F,0,7,5,7,5,7,6,3,5,high,low,high,low,high,medium,high,medium,high,high,low,medium,-0.012,0.0,-0.0,0.0,0.0,0.062,0.004,0.115,0.159,0.003,-0.0,0.078,0.003,0.0,0.0,0.0,0.391,0.024,0.72,1.0,0.02,0.0,low,low,low,low,low,medium,low,high,high,low,low
7774,deanna rodriguez,10,6,M,0,4,5,9,7,7,7,3,3,high,high,low,low,medium,medium,high,high,high,high,low,low,0.007,-0.002,-0.0,-0.0,0.0,0.09,0.037,0.103,0.138,0.003,-0.039,0.054,0.011,0.0,0.0,0.0,0.652,0.27,0.745,1.0,0.02,0.283,low,low,low,low,low,medium,low,high,high,low,low
7791,evenson morency,9,1,M,0,5,5,9,4,9,6,5,8,high,low,low,low,medium,medium,high,medium,high,high,medium,high,-0.012,-0.002,-0.0,0.0,0.0,0.097,-0.038,0.15,0.148,-0.001,0.031,0.08,0.012,0.0,0.0,0.0,0.648,0.252,1.0,0.983,0.006,0.206,low,low,low,low,low,medium,low,high,high,low,low
7815,michelle briceno,6,4,M,0,9,10,4,5,3,7,6,7,high,medium,low,low,high,high,medium,medium,low,high,high,high,-0.015,-0.0,-0.0,0.0,0.0,-0.083,-0.002,-0.199,0.193,-0.003,0.026,0.076,0.001,0.0,0.0,0.0,0.416,0.008,1.0,0.967,0.016,0.128,low,low,low,low,low,medium,low,high,high,low,low
7837,jeffry morgan,2,1,F,0,5,0,5,4,2,5,7,6,low,low,high,low,medium,low,medium,medium,low,medium,high,high,-0.016,0.0,-0.0,0.0,-0.0,0.015,-0.018,-0.103,-0.089,-0.008,0.009,0.151,0.002,0.0,0.0,0.0,0.144,0.173,1.0,0.86,0.079,0.088,low,low,low,low,low,low,low,high,high,low,low
7846,joel dominguez,6,3,F,0,7,6,7,3,8,6,3,5,high,low,high,low,high,high,high,low,high,high,low,medium,-0.008,0.0,-0.0,0.0,0.0,0.065,-0.043,0.136,0.144,0.003,0.002,0.053,0.003,0.0,0.0,0.0,0.45,0.297,0.943,1.0,0.022,0.014,low,low,low,low,low,medium,low,high,high,low,low
7859,edward greenfield,6,8,F,0,8,5,3,8,4,5,4,9,high,high,high,low,high,medium,low,high,medium,medium,medium,high,0.07,0.0,-0.0,0.0,0.0,-0.072,0.021,-0.083,-0.105,0.009,0.018,0.671,0.002,0.0,0.0,0.0,0.686,0.203,0.791,1.0,0.084,0.175,high,low,low,low,low,high,low,high,high,low,low
8185,willie perry,4,8,M,0,4,5,4,5,6,5,8,6,medium,high,low,low,medium,medium,medium,medium,high,medium,high,high,0.062,-0.001,-0.0,-0.0,0.0,-0.054,0.003,0.136,-0.133,-0.003,0.016,0.456,0.006,0.0,0.0,0.0,0.395,0.023,1.0,0.975,0.019,0.117,medium,low,low,low,low,medium,low,high,high,low,low
8299,travis sweeting,4,2,F,0,4,5,5,1,5,7,4,2,medium,low,high,low,medium,medium,medium,low,medium,high,medium,low,-0.026,0.0,-0.0,-0.0,0.0,-0.021,-0.036,-0.106,0.14,0.004,-0.026,0.185,0.001,0.0,0.0,0.0,0.152,0.257,0.754,1.0,0.028,0.187,low,low,low,low,low,low,low,high,high,low,low
